company_name,website,country,tier,industry,email_verified,verified_email
Lalamove,https://lalamove.com,HK,2,logistics,NO,
Kerry Express HK,https://kerryexpress.com,HK,2,logistics,NO,
SF Express HK,https://sf-express.com,HK,2,logistics,NO,
HK Post eCommerce,https://hongkongpost.hk,HK,2,logistics,NO,
Cainiao HK,https://cainiao.com,HK,2,logistics,NO,
DHL HK,https://dhl.com.hk,HK,2,logistics,NO,
FedEx HK,https://fedex.com/en-hk,HK,2,logistics,NO,
Airwallex,https://airwallex.com,HK,2,payment,NO,
Payoneer HK,https://payoneer.com,HK,2,payment,NO,
XTransfer,https://xtransfer.cn,HK,2,payment,NO,
Statrys,https://statrys.com,HK,2,payment,NO,
Neat,https://neat.hk,HK,2,payment,NO,
Currenxie,https://currenxie.com,HK,2,payment,NO,
Asiabill,https://asiabill.com,HK,2,payment,NO,
PingPong HK,https://pingpongx.com,HK,2,payment,NO,
DHgate,https://dhgate.com,HK,2,crossborder_marketplace,NO,
Easyship HK,https://easyship.com,HK,2,shipping,NO,
Floship,https://floship.com,HK,2,fulfilment,NO,
Boxme,https://boxme.asia,HK,2,fulfilment,NO,
Lingble,https://lingble.com,HK,2,crossborder_ecommerce,NO,
Return Helper,https://returnhelper.com,HK,2,returns,NO,
Spaceship,https://spaceship.hk,HK,2,shipping,NO,
Buyandship,https://buyandship.com,HK,2,crossborder_shopping,NO,
Gearment HK,https://gearment.com,HK,2,fulfilment,NO,
Ship24,https://ship24.com,HK,2,tracking,NO,
PostNL,https://postnl.nl,NL,2,logistics,NO,
DHL Netherlands,https://dhl.nl,NL,2,logistics,NO,
Sendcloud,https://sendcloud.com,NL,2,shipping,NO,
ChannelEngine,https://channelengine.com,NL,2,marketplace_saas,NO,
Paazl,https://paazl.com,NL,2,shipping,NO,
MyParcel,https://myparcel.nl,NL,2,shipping,NO,
Transsmart,https://transsmart.nl,NL,2,logistics_tech,NO,
Cycleon,https://cycleon.nl,NL,2,returns,NO,
B2C Europe,https://b2ceurope.eu,NL,2,crossborder_logistics,NO,
Wuunder,https://wuunder.com,NL,2,shipping,NO,
Picqer,https://picqer.com,NL,2,warehouse,NO,
Mollie,https://mollie.com,NL,2,payment,NO,
Adyen,https://adyen.com,NL,2,payment,NO,
Buckaroo,https://buckaroo.nl,NL,2,payment,NO,
MultiSafepay,https://multisafepay.com,NL,2,payment,NO,
Riverty,https://riverty.com,NL,2,payment,NO,
Taxdoo,https://taxdoo.com,NL,2,tax_compliance,NO,
Customs4trade NL,https://customs4trade.com,NL,2,customs,NO,
Descartes NL,https://descartes.com,NL,2,logistics_compliance,NO,
Returnless,https://returnless.com,NL,2,returns,NO,
Montapacking,https://montapacking.nl,NL,2,fulfilment,NO,
Active Ants,https://activeants.nl,NL,2,fulfilment,NO,
Hive,https://hive.app,NL,2,fulfilment,NO,
Bol.com Logistics,https://bol.com,NL,2,marketplace,NO,
Bluewater,https://bluewater.nl,NL,2,logistics,NO,
Global-e Israel,https://global-e.com,IL,2,crossborder_platform,NO,
Riskified,https://riskified.com,IL,2,fraud_prevention,NO,
Forter,https://forter.com,IL,2,fraud_prevention,NO,
BlueSnap,https://bluesnap.com,IL,2,payment,NO,
Payoneer IL,https://payoneer.com,IL,2,payment,NO,
Tipalti,https://tipalti.com,IL,2,payment,NO,
ZigZag Global,https://zigzag.global,IL,2,returns,NO,
Bringg,https://bringg.com,IL,2,delivery_tech,NO,
Syte,https://syte.ai,IL,2,ecommerce_ai,NO,
Yotpo IL,https://yotpo.com,IL,2,ecommerce_marketing,NO,
StoreYa,https://storeya.com,IL,2,ecommerce_marketing,NO,
Feedvisor,https://feedvisor.com,IL,2,marketplace_optimization,NO,
Algopix,https://algopix.com,IL,2,product_research,NO,
Optimalship,https://optimalship.com,IL,2,shipping,NO,
Freightos IL,https://freightos.com,IL,2,freight_marketplace,NO,
Ship4wd,https://ship4wd.com,IL,2,freight_forwarding,NO,
Rapyd IL,https://rapyd.net,IL,2,payment,NO,
Credorax,https://credorax.com,IL,2,payment,NO,
Melio,https://meliopayments.com,IL,2,payment,NO,
Via,https://ridewithvia.com,IL,2,logistics_tech,NO,
Flytrex,https://flytrex.com,IL,2,delivery_tech,NO,
Route4Me IL,https://route4me.com,IL,2,logistics_tech,NO,
Locus,https://locus.sh,IL,2,logistics_tech,NO,
Overwolf Commerce,https://overwolf.com,IL,2,ecommerce_tech,NO,
Wix eCommerce,https://wix.com,IL,2,ecommerce_platform,NO,
DHL Germany,https://dhl.de,DE,3,logistics,NO,
Hermes Germany,https://hermesworld.com,DE,3,logistics,NO,
Otto Group,https://ottogroup.com,DE,3,ecommerce,NO,
Zalando Logistics,https://zalando.com,DE,3,ecommerce_logistics,NO,
Tradebyte,https://tradebyte.com,DE,3,marketplace_saas,NO,
Afterbuy,https://afterbuy.de,DE,3,ecommerce_ops,NO,
JTL Software,https://jtl-software.de,DE,3,ecommerce_erp,NO,
Plentymarkets,https://plentymarkets.com,DE,3,ecommerce_ops,NO,
Billbee,https://billbee.io,DE,3,ecommerce_ops,NO,
Taxdoo DE,https://taxdoo.com,DE,3,tax_compliance,NO,
Hellotax,https://hellotax.com,DE,3,vat_compliance,NO,
Shipcloud,https://shipcloud.io,DE,3,shipping,NO,
Parcellab,https://parcellab.com,DE,3,delivery_experience,NO,
Seven Senders,https://sevensenders.com,DE,3,crossborder_logistics,NO,
Forto,https://forto.com,DE,3,freight_forwarding,NO,
Flexport DE,https://flexport.com,DE,3,freight_forwarding,NO,
Sennder,https://sennder.com,DE,3,freight_tech,NO,
Ratepay,https://ratepay.com,DE,3,payment,NO,
Unzer,https://unzer.com,DE,3,payment,NO,
Stripe DE,https://stripe.com,DE,3,payment,NO,
Wirecard successor (Payone),https://payone.com,DE,3,payment,NO,
Avalara DE,https://avalara.com,DE,3,tax_compliance,NO,
Asendia DE,https://asendia.com,DE,3,crossborder_logistics,NO,
Hermes Fulfilment,https://hermesworld.com,DE,3,fulfilment,NO,
DPD Germany,https://dpd.com/de,DE,3,logistics,NO,
GLS Germany,https://gls-group.eu,DE,3,logistics,NO,
DB Schenker,https://dbschenker.com,DE,3,logistics,NO,
Kuehne+Nagel DE,https://kuehne-nagel.com,DE,3,logistics,NO,
Rhenus Logistics,https://rhenus.group,DE,3,logistics,NO,
Fiege Logistik,https://fiege.com,DE,3,fulfilment,NO,
Arvato Supply Chain,https://arvato-supply-chain.com,DE,3,fulfilment,NO,
Boxtale DE,https://boxtale.com,DE,3,shipping,NO,
Australia Post,https://auspost.com.au,AU,3,logistics,NO,
Toll Group,https://tollgroup.com,AU,3,logistics,NO,
StarTrack,https://startrack.com.au,AU,3,logistics,NO,
Sendle,https://sendle.com,AU,3,shipping,NO,
ShipStation AU,https://shipstation.com,AU,3,shipping,NO,
Shippit,https://shippit.com,AU,3,shipping,NO,
Temando,https://temando.com,AU,3,shipping,NO,
Neto (Maropost),https://maropost.com,AU,3,ecommerce_ops,NO,
BigCommerce AU,https://bigcommerce.com.au,AU,3,ecommerce_platform,NO,
Shopify AU,https://shopify.com.au,AU,3,ecommerce_platform,NO,
eParcel,https://auspost.com.au/eparcel,AU,3,logistics,NO,
DHL AU,https://dhl.com.au,AU,3,logistics,NO,
FedEx AU,https://fedex.com/en-au,AU,3,logistics,NO,
Aramex AU,https://aramex.com.au,AU,3,logistics,NO,
TNT AU,https://tnt.com.au,AU,3,logistics,NO,
Airwallex AU,https://airwallex.com,AU,3,payment,NO,
Stripe AU,https://stripe.com/au,AU,3,payment,NO,
Afterpay,https://afterpay.com,AU,3,payment,NO,
Zip Co,https://zip.co,AU,3,payment,NO,
Assembly Payments,https://assemblypayments.com,AU,3,payment,NO,
eWAY,https://eway.com.au,AU,3,payment,NO,
Jaybill,https://jaybill.com.au,AU,3,payment,NO,
TradeWindow AU,https://tradewindow.io,AU,3,trade_compliance,NO,
Customs Brokers AU,https://cbfca.com.au,AU,3,customs,NO,
Freight People,https://freightpeople.com.au,AU,3,freight,NO,
Flexport AU,https://flexport.com,AU,3,freight,NO,
Aramex UAE,https://aramex.com,UAE,3,logistics,NO,
Fetchr,https://fetchr.us,UAE,3,logistics,NO,
Careem Box,https://careem.com,UAE,3,logistics,NO,
Emirates Post,https://emiratespost.ae,UAE,3,logistics,NO,
DHL UAE,https://dhl.ae,UAE,3,logistics,NO,
FedEx UAE,https://fedex.com/en-ae,UAE,3,logistics,NO,
Noon Logistics,https://noon.com,UAE,3,ecommerce,NO,
Tabby,https://tabby.ai,UAE,3,payment,NO,
Telr,https://telr.com,UAE,3,payment,NO,
PayTabs,https://paytabs.com,UAE,3,payment,NO,
Network International,https://networkinternational.ae,UAE,3,payment,NO,
Payfort (Amazon),https://payfort.com,UAE,3,payment,NO,
Trukker,https://trukker.com,UAE,3,freight,NO,
Quiqup,https://quiqup.com,UAE,3,logistics,NO,
Zid,https://zid.sa,UAE,3,ecommerce_platform,NO,
Salla,https://salla.com,UAE,3,ecommerce_platform,NO,
iMile,https://imile.com,UAE,3,logistics,NO,
Shipa Delivery,https://shipadelivery.com,UAE,3,logistics,NO,
Wing,https://wing.ae,UAE,3,logistics,NO,
Floward,https://floward.com,UAE,3,ecommerce,NO,
Tradeling,https://tradeling.com,UAE,3,b2b_marketplace,NO,
Freightify UAE,https://freightify.com,UAE,3,freight,NO,
Agility Logistics,https://agility.com,UAE,3,logistics,NO,
DP World,https://dpworld.com,UAE,3,port_logistics,NO,
GAC Group,https://gfrgroup.com,UAE,3,logistics,NO,
Al-Futtaim Logistics,https://alfuttaim.com,UAE,3,logistics,NO,
